9/10/2020 data collected by Mark Richards and Steve Kolthammer,,,,,,,,,,,
Source,None,Na-22,Mn-54,Cs-137,Am-241,Cs-137,Cs-137,Cs-137,Cs-137,Cs-137,Cs-137
Experiment type,Calibration,Calibration,Calibration,Calibration,Calibration,Scattering,Background,Scattering,Background,Scattering,Background
Angle (deg),N/A,N/A,N/A,N/A,N/A,20,20,30,30,45,45
Time (s),100,100,100,100,40,100,100,100,100,300,300
,,,,,,,,,,,
Bin,,,,Count,Count,Count,Count,Count,Count,Count,Count
160,5,100,10,133,3,2,3,8,3,7,12
161,2,57,18,126,3,7,7,7,4,7,9
162,2,40,15,110,1,5,3,11,1,9,7
163,6,45,7,108,2,11,2,13,5,6,7
164,1,44,14,118,1,6,4,10,5,7,6
165,2,33,13,121,2,8,4,9,5,9,5
166,1,22,10,139,2,9,6,6,6,10,8
167,0,23,8,98,3,14,2,12,3,9,5
168,2,39,13,123,1,11,3,8,1,5,6
169,1,14,11,140,3,11,5,7,6,6,6
170,3,19,11,146,0,11,2,14,2,6,8
171,1,25,14,148,1,13,2,5,3,5,3
172,1,19,7,130,1,10,6,6,6,7,8
173,2,24,10,169,1,15,2,8,9,8,7
174,1,18,14,173,3,7,2,6,5,8,9
175,2,20,10,187,2,16,4,7,2,8,8
176,4,18,14,202,3,14,4,11,0,6,3
177,1,20,10,227,1,6,2,4,11,7,7
178,2,16,5,244,1,10,6,6,5,3,12
179,0,12,14,319,3,10,9,5,5,6,3
180,3,19,8,374,2,19,7,4,5,7,10
181,0,18,15,448,2,17,8,3,2,5,7
182,2,20,7,533,5,14,7,2,1,3,6
183,3,20,10,563,5,23,6,1,3,8,6
184,0,28,9,720,8,10,7,5,3,6,7
185,1,25,4,774,6,11,9,5,8,5,4
186,1,22,7,928,5,8,13,1,3,3,6
187,1,26,8,1022,4,9,10,4,4,2,2
188,2,26,5,1120,4,9,11,8,1,5,3
189,1,22,3,1213,6,10,12,3,4,9,7
190,1,19,5,1323,10,9,11,3,4,4,7
191,2,23,9,1314,4,5,9,1,2,6,5
192,2,16,5,1343,7,14,9,1,3,4,2
193,3,22,6,1328,4,8,10,6,5,5,8
194,2,18,6,1261,5,13,10,5,2,3,6
195,1,29,5,1248,5,6,12,1,2,8,9
196,1,20,6,1124,1,5,13,2,1,5,7
197,4,29,6,1021,6,6,8,1,3,6,9
198,1,13,3,925,5,5,9,2,6,5,6
199,4,18,6,779,5,7,6,2,0,4,9
200,0,20,4,702,4,3,2,1,1,2,8
201,1,29,4,565,2,6,4,1,0,5,8
202,0,18,7,436,4,3,1,0,3,6,6
203,1,21,3,367,3,4,7,0,1,3,3
204,0,17,3,267,1,2,4,1,2,6,6
205,0,24,2,216,1,1,1,1,2,3,3
206,1,25,3,174,0,1,1,1,2,3,1
207,1,17,8,119,0,7,2,1,2,3,1
208,1,20,3,103,0,1,0,1,1,2,2
209,1,25,1,70,0,1,2,1,2,1,2
210,0,19,5,48,0,3,0,1,1,1,5
211,3,20,7,29,0,3,1,0,1,3,3
212,0,18,3,22,0,1,2,0,0,1,4
213,0,18,3,12,1,1,1,2,0,5,2
214,2,19,4,6,1,4,0,1,0,5,2
215,0,12,2,9,0,2,1,1,3,4,2
216,1,26,4,6,0,0,1,2,0,5,3
217,1,19,9,7,0,0,1,2,1,3,4
218,0,28,3,5,0,0,0,1,0,2,1
219,3,20,3,2,0,0,0,2,1,2,2
220,1,25,6,5,0,0,0,2,1,3,3
221,0,19,1,3,0,2,1,1,2,3,5
222,0,19,4,3,1,0,2,0,1,1,4
223,0,11,9,4,0,1,0,1,1,5,2
224,1,12,5,1,1,1,1,0,2,2,2
225,2,20,10,6,0,2,2,0,1,2,3
226,0,20,7,2,0,1,0,2,1,5,4
227,2,22,11,2,0,2,1,1,0,4,1
228,2,17,13,1,0,1,0,2,4,4,7
229,0,20,15,2,2,0,0,1,2,3,7
230,1,19,25,4,0,5,0,1,0,3,3
